Number,Id,Datetime,Timestamp,Runtime,Type,Depth,Temperature,Heading,Roll,Pitch
1,2,2025-01-30 00:07:53,1738224473,13,p,0.2,13.5,179.8,-85.4,-2.6
2,3,2025-01-30 00:08:02,1738224482,22,p,0.2,13.5,180.1,-86.1,-2.2
3,4,2025-01-30 00:08:12,1738224492,32,p,0.2,13.5,180.1,-85.7,-2.2
4,5,2025-01-30 00:08:22,1738224502,42,p,0.2,13.5,180.1,-85.5,-2.3
5,6,2025-01-30 00:08:32,1738224512,52,p,0.2,13.5,179.5,-85.5,-2.9
6,7,2025-01-30 00:08:42,1738224522,62,p,0.21,13.4,179.7,-85.6,-2.6
7,8,2025-01-30 00:08:52,1738224532,72,p,0.2,13.4,180.9,-82.5,3.5
8,9,2025-01-30 00:09:02,1738224542,82,p,0.64,11.2,177.4,-78.9,-42.2
9,10,2025-01-30 00:09:12,1738224552,92,p,0.67,9.3,96.4,-88.6,-1
10,11,2025-01-30 00:09:22,1738224562,102,p,1.35,8.6,53.6,-88.1,-1.4
11,12,2025-01-30 00:09:32,1738224572,112,p,3.98,8.1,41.7,-88.1,-1.7
12,13,2025-01-30 00:09:42,1738224582,122,p,5.92,7.8,33.9,-106,-16.3
13,14,2025-01-30 00:09:52,1738224592,132,p,5.92,7.8,34,-105.9,-16.1
14,15,2025-01-30 00:10:02,1738224602,142,p,5.92,7.8,34,-105.9,-16.1
15,16,2025-01-30 00:10:12,1738224612,152,p,5.92,7.8,34,-105.9,-16.1
16,17,2025-01-30 00:10:22,1738224622,162,p,5.92,7.8,34,-105.9,-16.1
17,18,2025-01-30 00:10:32,1738224632,172,p,5.92,7.8,34,-105.9,-16.1
18,19,2025-01-30 00:10:42,1738224642,182,p,5.92,7.8,34,-105.9,-16.1
19,20,2025-01-30 00:10:52,1738224652,192,p,5.92,7.8,34,-105.9,-16.1
20,21,2025-01-30 00:11:02,1738224662,202,p,5.92,7.9,34,-105.9,-16.1
21,22,2025-01-30 00:11:12,1738224672,212,p,5.92,7.9,34,-105.9,-16.1
22,23,2025-01-30 00:11:22,1738224682,222,p,5.92,7.9,34,-105.9,-16.1
23,24,2025-01-30 00:11:31,1738224691,231,p,5.92,7.9,34,-105.9,-16.1
24,25,2025-01-30 00:11:41,1738224701,241,p,5.92,7.9,34,-105.9,-16.1
25,26,2025-01-30 00:11:51,1738224711,251,p,5.92,7.9,34,-105.9,-16.1
26,27,2025-01-30 00:12:01,1738224721,261,p,5.92,7.9,34,-105.9,-16.1
27,28,2025-01-30 00:12:11,1738224731,271,p,5.92,7.9,34,-105.9,-16.1
28,29,2025-01-30 00:12:21,1738224741,281,p,5.93,7.9,34,-105.9,-16.1
29,30,2025-01-30 00:12:31,1738224751,291,p,5.93,7.9,34,-105.9,-16.1
30,31,2025-01-30 00:12:41,1738224761,301,p,5.92,7.8,34,-105.9,-16.1
31,32,2025-01-30 00:12:51,1738224771,311,p,5.92,7.8,34,-105.9,-16.1
32,33,2025-01-30 00:13:01,1738224781,321,p,5.92,7.8,34,-105.9,-16.1
33,34,2025-01-30 00:13:11,1738224791,331,p,5.93,7.8,34,-105.9,-16.1
34,35,2025-01-30 00:13:21,1738224801,341,p,5.93,7.8,34,-105.9,-16.1
35,36,2025-01-30 00:13:31,1738224811,351,p,5.93,7.8,34,-105.9,-16.1
36,37,2025-01-30 00:13:41,1738224821,361,p,5.92,7.8,34,-105.9,-16.1
37,38,2025-01-30 00:13:51,1738224831,371,p,5.93,7.8,34,-105.9,-16.1
38,39,2025-01-30 00:14:01,1738224841,381,p,5.93,7.7,34,-105.9,-16.1
39,40,2025-01-30 00:14:11,1738224851,391,p,5.93,7.7,34,-105.9,-16.1
40,41,2025-01-30 00:14:21,1738224861,401,p,5.93,7.6,34,-105.9,-16.1
41,42,2025-01-30 00:14:31,1738224871,411,p,5.93,7.7,34,-105.9,-16.1
42,43,2025-01-30 00:14:41,1738224881,421,p,5.92,7.7,34,-105.9,-16.1
43,44,2025-01-30 00:14:51,1738224891,431,p,5.92,7.7,34,-105.9,-16.1
44,45,2025-01-30 00:15:01,1738224901,441,p,5.92,7.6,34,-105.9,-16.1
45,46,2025-01-30 00:15:10,1738224910,450,p,5.93,7.6,34,-105.9,-16.1
46,47,2025-01-30 00:15:20,1738224920,460,p,5.92,7.6,34,-105.9,-16.1
47,48,2025-01-30 00:15:30,1738224930,470,p,5.93,7.6,34,-105.9,-16.1
48,49,2025-01-30 00:15:40,1738224940,480,p,5.92,7.6,34,-105.9,-16.1
49,50,2025-01-30 00:15:50,1738224950,490,p,5.93,7.6,34,-105.9,-16.1
50,51,2025-01-30 00:16:00,1738224960,500,p,5.93,7.6,34,-105.9,-16.1
51,52,2025-01-30 00:16:10,1738224970,510,p,5.92,7.6,34,-105.9,-16.1
52,53,2025-01-30 00:16:20,1738224980,520,p,5.93,7.6,34,-105.9,-16.1
53,54,2025-01-30 00:16:30,1738224990,530,p,5.92,7.6,34,-105.9,-16.1
54,55,2025-01-30 00:16:40,1738225000,540,p,5.92,7.6,34,-105.9,-16.1
55,56,2025-01-30 00:16:50,1738225010,550,p,5.92,7.6,34,-105.9,-16.1
56,57,2025-01-30 00:17:00,1738225020,560,p,5.92,7.6,34,-105.9,-16.1
57,58,2025-01-30 00:17:10,1738225030,570,p,5.92,7.6,34,-105.9,-16.1
58,59,2025-01-30 00:17:20,1738225040,580,p,5.92,7.6,34,-105.9,-16.1
