"time (UTC)","max velocity (m/s)","maxu_qc"
"2025-05-01 00:00:04.000","1.6922488","0"
"2025-05-01 00:15:04.000","1.7735031","0"
"2025-05-01 00:30:04.000","1.6789012","0"
"2025-05-01 00:45:04.000","1.6176261","0"
"2025-05-01 01:00:04.000","1.6326483","0"
"2025-05-01 01:15:04.000","1.3650295","0"
"2025-05-01 01:30:04.000","1.2830192","0"
"2025-05-01 01:45:04.000","1.0690565","0"
"2025-05-01 02:00:04.000","0.75939447","0"
"2025-05-01 02:15:04.000","0.56639653","0"
"2025-05-01 02:30:04.000","0.39003202","0"
"2025-05-01 02:45:04.000","0.30723438","0"
"2025-05-01 03:00:04.000","0.31390446","0"
"2025-05-01 03:15:04.000","0.14182384","0"
"2025-05-01 03:30:04.000","0.26152053","0"
"2025-05-01 03:45:04.000","0.11322543","0"
"2025-05-01 04:00:04.000","0.22120579","0"
"2025-05-01 04:15:04.000","0.078294314","0"
"2025-05-01 04:30:04.000","0.123320706","0"
"2025-05-01 04:45:04.000","0.21319006","0"
"2025-05-01 05:00:04.000","0.30479172","0"
"2025-05-01 05:15:04.000","0.23124878","0"
"2025-05-01 05:30:04.000","0.20295075","0"
"2025-05-01 05:45:04.000","0.13048372","0"
"2025-05-01 06:00:04.000","0.16114901","0"
"2025-05-01 06:15:04.000","0.26488677","0"
"2025-05-01 06:30:04.000","0.36126032","0"
"2025-05-01 06:45:04.000","0.35886067","0"
"2025-05-01 07:00:04.000","0.37632427","0"
"2025-05-01 07:15:04.000","0.32775757","0"
"2025-05-01 07:30:04.000","0.18916926","0"
"2025-05-01 07:45:04.000","0.20112188","0"
"2025-05-01 08:00:04.000","0.16906805","0"
"2025-05-01 08:15:04.000","0.24212393","0"
"2025-05-01 08:30:04.000","0.2700703","0"
"2025-05-01 08:45:04.000","0.22461745","0"
"2025-05-01 09:00:04.000","0.27917916","0"
"2025-05-01 09:15:04.000","0.29584622","0"
"2025-05-01 09:30:04.000","0.09334345","0"
"2025-05-01 09:45:04.000","0.12931359","0"
"2025-05-01 10:00:04.000","0.15834458","0"
"2025-05-01 10:15:04.000","0.14052045","0"
"2025-05-01 10:30:04.000","0.14847559","0"
"2025-05-01 10:45:04.000","0.13914022","0"
"2025-05-01 11:00:04.000","0.18232113","0"
"2025-05-01 11:15:04.000","0.14610955","0"
"2025-05-01 11:30:04.000","0.15847395","0"
"2025-05-01 11:45:04.000","0.08811924","0"
"2025-05-01 12:00:04.000","0.09625486","0"
"2025-05-01 12:15:04.000","0.11515642","0"
"2025-05-01 12:30:04.000","0.053823788","0"
"2025-05-01 12:45:04.000","0.13075167","0"
"2025-05-01 13:00:04.000","0.5131832","0"
"2025-05-01 13:15:04.000","0.6323449","0"
"2025-05-01 13:30:04.000","0.79002094","0"
"2025-05-01 13:45:04.000","0.8721583","0"
"2025-05-01 14:00:04.000","0.9723915","0"
"2025-05-01 14:15:04.000","1.1480159","0"
"2025-05-01 14:30:04.000","1.297879","0"
"2025-05-01 14:45:04.000","1.4369482","0"
"2025-05-01 15:00:04.000","1.5360498","0"
