"time (UTC)","pCO2 in water (ppm)","qc_pco2_water","pCO2 in air (ppm)","qc_pco2_air","O2 in water (%)","qc_o2_water","o2_air","O2 in air (%)"
"2025-05-01 00:00:00.000","554.0497","0","429.14212","0","20.896364","0","21.279642","0"
"2025-05-01 03:00:00.000","499.16132","0","433.20743","0","20.95035","0","21.521206","0"
"2025-05-01 06:00:00.000","454.7003","0","452.24945","0","20.84655","0","21.341902","0"
"2025-05-01 09:00:00.000","499.71112","0","466.04562","0","20.591383","0","21.19379","0"
"2025-05-01 12:00:00.000","529.4087","0","488.70825","0","20.287931","0","21.070692","0"
"2025-05-01 15:00:00.000","416.92804","0","439.7585","0","21.084816","0","21.50793","0"
"2025-05-01 18:00:00.000","381.76465","0","443.21683","0","21.677584","0","21.665506","0"
"2025-05-01 21:00:00.000","322.125","0","440.3054","0","22.178102","0","21.577938","0"
"2025-05-02 00:00:00.000","569.4794","0","431.91656","0","21.090683","0","21.220875","0"
"2025-05-02 03:00:00.000","572.9799","0","431.59863","0","20.850355","0","21.468615","0"
"2025-05-02 06:00:00.000","326.82202","0","499.40958","0","21.629484","0","21.306383","0"
"2025-05-02 09:00:00.000","348.9614","0","480.4643","0","21.857244","0","21.161388","0"
"2025-05-02 12:00:00.000","439.0093","0","483.3536","0","21.615526","0","21.098448","0"
"2025-05-02 15:00:00.000","304.64264","0","458.81436","0","22.564314","0","21.480507","0"
"2025-05-02 18:00:00.000","349.21057","0","434.87323","0","22.892574","0","21.60001","0"
"2025-05-02 21:00:00.000","355.69162","0","423.941","0","22.947237","0","21.546036","0"
"2025-05-03 00:00:00.000","556.5807","0","427.65323","0","21.716375","0","21.255182","0"
"2025-05-03 03:00:00.000","542.1593","0","432.87332","0","21.184143","0","21.276733","0"
"2025-05-03 06:00:00.000","576.4805","0","433.00925","0","20.542418","0","21.117231","0"
"2025-05-03 09:00:00.000","514.8543","0","433.36728","0","20.441563","0","21.119135","0"
"2025-05-03 12:00:00.000","536.61487","0","444.58603","0","20.24897","0","21.06482","0"
"2025-05-03 15:00:00.000","363.26093","0","432.84482","0","20.56275","0","21.067404","0"
"2025-05-03 18:00:00.000","404.6403","0","428.34055","0","21.036901","0","21.1788","0"
"2025-05-03 21:00:00.000","384.2883","0","427.43292","0","21.455875","0","21.317764","0"
"2025-05-04 00:00:00.000","368.83652","0","427.61142","0","21.807415","0","21.383623","0"
"2025-05-04 03:00:00.000","562.62103","0","431.8814","0","21.121027","0","21.31931","0"
"2025-05-04 06:00:00.000","583.72345","0","436.62772","0","20.474144","0","21.166729","0"
"2025-05-04 09:00:00.000","351.78244","0","436.31018","0","21.015335","0","21.094995","0"
"2025-05-04 12:00:00.000","450.47437","0","436.3619","0","20.902061","0","21.069824","0"
"2025-05-04 15:00:00.000","476.87555","0","432.0344","0","21.081196","0","21.353968","0"
"2025-05-04 18:00:00.000","423.8839","0","431.74567","0","21.494307","0","21.568283","0"
"2025-05-04 21:00:00.000","277.09616","0","430.5761","0","22.237585","0","21.443459","0"
"2025-05-05 00:00:00.000","238.2286","0","427.49936","0","23.07345","0","21.454659","0"
"2025-05-05 03:00:00.000","597.01715","0","434.94168","0","22.11516","0","21.547075","0"
"2025-05-05 06:00:00.000","576.1144","0","458.68915","0","21.336384","0","21.367247","0"
"2025-05-05 09:00:00.000","571.0545","0","469.43256","0","20.668623","0","21.146547","0"
"2025-05-05 12:00:00.000","588.1452","0","477.25934","0","20.282415","0","21.026207","0"
"2025-05-05 15:00:00.000","277.86862","0","443.93927","0","21.65104","0","21.413795","0"
"2025-05-05 18:00:00.000","227.76775","0","440.8431","0","23.25018","0","21.68414","0"
"2025-05-05 21:00:00.000","246.66502","0","440.80832","0","24.103785","0","21.62396","0"
"2025-05-06 00:00:00.000","238.36794","0","429.14636","0","24.511196","0","21.491203","0"
"2025-05-06 03:00:00.000","550.1307","0","435.2358","0","23.313278","0","21.703457","0"
"2025-05-06 06:00:00.000","562.6067","0","457.76947","0","22.239828","0","21.535177","0"
"2025-05-06 09:00:00.000","544.69446","0","459.96384","0","21.526545","0","21.370525","0"
"2025-05-06 12:00:00.000","571.39984","0","482.46982","0","21.005863","0","21.32","0"
"2025-05-06 15:00:00.000","355.84808","0","451.405","0","21.85654","0","21.57552","0"
"2025-05-06 18:00:00.000","529.8427","0","453.47238","0","21.617233","0","21.667404","0"
"2025-05-06 21:00:00.000","254.02534","0","441.55682","0","22.796032","0","21.5512","0"
"2025-05-07 00:00:00.000","284.47192","0","435.85516","0","23.515356","0","21.364141","0"
"2025-05-07 03:00:00.000","345.64676","0","430.81992","0","23.522589","0","21.389996","0"
"2025-05-07 06:00:00.000","622.7319","0","441.58856","0","22.056034","0","21.332764","0"
"2025-05-07 09:00:00.000","262.75342","0","438.5837","0","22.886034","0","21.266197","0"
"2025-05-07 12:00:00.000","497.24768","0","439.33157","0","22.159317","0","21.267235","0"
"2025-05-07 15:00:00.000","261.44882","0","442.8162","0","22.944664","0","21.267057","0"
"2025-05-07 18:00:00.000","525.8636","0","430.0934","0","22.31327","0","21.477255","0"
"2025-05-07 21:00:00.000","209.49205","0","425.80307","0","23.502605","0","21.47691","0"
"2025-05-10 00:00:00.000","224.8259","0","425.69232","0","23.379992","0","21.311378","0"
"2025-05-10 03:00:00.000","331.47534","0","432.72604","0","23.676895","0","21.551893","0"
"2025-05-10 06:00:00.000","561.56696","0","443.65396","0","22.259306","0","21.348959","0"
"2025-05-10 09:00:00.000","455.10553","0","448.06458","0","21.867067","0","21.22965","0"
"2025-05-10 12:00:00.000","482.87512","0","460.83417","0","21.470514","0","21.14725","0"
"2025-05-10 15:00:00.000","363.6264","0","452.47986","0","21.72983","0","21.144485","0"
"2025-05-10 18:00:00.000","270.4714","0","436.2588","0","22.617409","0","21.29086","0"
"2025-05-10 21:00:00.000","542.3769","0","430.68097","0","21.855509","0","21.379305","0"
