"time (UTC)","temp (degC)","qc_temp","do (mg/L)","qc_do","salinity (ppt)","qc_salinity"
"2021-08-05 22:57:58.284","13.8234","0","9.415","0","30.5765","0"
"2021-08-05 22:58:09.450","13.8182","0","9.41","0","30.5804","0"
"2021-08-05 22:58:20.945","13.8168","0","9.413","0","30.5814","0"
"2021-08-05 23:00:00.961","13.81","0","9.403","0","30.5833","0"
"2021-08-05 23:00:27.267","13.8051","0","9.4","0","30.5851","0"
"2021-08-05 23:02:51.152","13.7775","0","9.365","0","30.5905","0"
"2021-08-05 23:45:11.590","13.8505","0","8.484","0","30.5587","0"
"2021-08-06 00:00:12.346","13.9694","0","8.334","0","30.542","0"
"2021-08-06 00:15:12.770","14.1293","0","8.576","0","30.5458","0"
"2021-08-06 00:30:11.945","14.1895","0","7.892","0","30.5624","0"
"2021-08-06 00:45:11.669","14.2081","0","7.609","0","30.5623","0"
"2021-08-06 01:00:12.425","14.2023","0","7.452","0","30.5636","0"
"2021-08-06 01:15:12.153","14.2878","0","7.287","0","30.5502","0"
"2021-08-06 01:30:11.972","14.294","0","7.056","0","30.5755","0"
"2021-08-06 01:45:11.714","14.3254","0","6.663","0","30.5528","0"
"2021-08-06 02:00:11.473","14.2438","0","8.898","0","30.5463","0"
"2021-08-06 02:15:12.109","14.2693","0","9.629","0","30.5196","0"
"2021-08-06 02:30:11.979","14.2505","0","9.75","0","30.5412","0"
"2021-08-06 02:45:11.649","14.2516","0","9.467","0","30.5703","0"
"2021-08-06 03:00:12.386","14.1538","0","9.065","0","30.5897","0"
"2021-08-06 03:15:12.154","14.1498","0","8.703","0","30.5743","0"
"2021-08-06 03:30:12.180","14.0919","0","8.23","0","30.6172","0"
"2021-08-06 03:45:11.754","14.0925","0","7.723","0","30.6843","0"
"2021-08-06 04:00:11.485","13.9589","0","6.717","0","30.7128","0"
"2021-08-06 04:15:12.222","14.0046","0","7.838","0","30.7331","0"
"2021-08-06 04:30:11.998","14.1035","0","8.194","0","30.7432","0"
"2021-08-06 04:45:11.750","13.9754","0","7.957","0","30.7754","0"
"2021-08-06 05:00:11.505","13.9828","0","7.572","0","30.7699","0"
"2021-08-06 05:15:12.178","13.9011","0","7.696","0","30.7999","0"
"2021-08-06 05:30:12.490","14.0531","0","7.724","0","30.7121","0"
"2021-08-06 05:45:11.803","14.0351","0","8.238","0","30.6244","0"
"2021-08-06 06:00:11.553","14.0065","0","8.091","0","30.6167","0"
"2021-08-06 06:15:12.233","13.9428","0","7.863","0","30.6059","0"
"2021-08-06 06:30:12.110","13.8942","0","7.706","0","30.5862","0"
"2021-08-06 06:45:11.878","13.865","0","7.558","0","30.5824","0"
"2021-08-06 07:00:11.487","13.8651","0","7.584","0","30.583","0"
"2021-08-06 07:15:12.236","13.8737","0","6.823","0","30.6019","0"
"2021-08-06 07:30:12.106","13.8697","0","6.248","0","30.5873","0"
"2021-08-06 07:45:11.842","13.868","0","5.944","0","30.5629","0"
"2021-08-06 08:00:11.577","13.8696","0","6.104","0","30.5614","0"
"2021-08-06 08:15:12.274","13.8914","0","5.895","0","30.5641","0"
"2021-08-06 08:30:12.157","13.9706","0","4.994","0","30.5685","0"
"2021-08-06 08:45:11.903","13.9611","0","4.698","0","30.56","0"
"2021-08-06 09:00:11.635","13.9733","0","5.074","0","30.5501","0"
"2021-08-06 09:15:12.353","14.0186","0","6.432","0","30.5519","0"
"2021-08-06 09:30:12.229","13.9445","0","8.671","0","30.6919","0"
"2021-08-06 09:45:11.980","13.9504","0","9.127","0","30.6704","0"
"2021-08-06 10:00:11.701","13.9003","0","8.404","0","30.6847","0"
"2021-08-06 10:15:11.439","13.9427","0","7.998","0","30.713","0"
"2021-08-06 10:30:12.329","13.9429","0","8.27","0","30.724","0"
"2021-08-06 10:45:12.260","13.9873","0","8.254","0","30.7408","0"
"2021-08-06 11:00:11.757","13.942","0","8.248","0","30.7709","0"
"2021-08-06 11:15:11.470","13.8334","0","8.276","0","30.7963","0"
"2021-08-06 11:30:12.246","13.9056","0","8.162","0","30.7932","0"
"2021-08-06 11:45:12.200","13.8326","0","7.996","0","30.8431","0"
"2021-08-06 12:00:12.401","13.7241","0","7.915","0","30.8904","0"
"2021-08-06 12:15:12.106","13.7659","0","8.194","0","30.8524","0"
"2021-08-06 12:30:11.923","13.7768","0","8.546","0","30.8287","0"
"2021-08-06 12:45:11.654","13.7725","0","8.518","0","30.8237","0"
"2021-08-06 13:00:12.406","13.7528","0","8.381","0","30.838","0"
"2021-08-06 13:15:12.156","13.7348","0","8.415","0","30.8867","0"
"2021-08-06 13:30:12.640","13.7434","0","8.531","0","30.8742","0"
"2021-08-06 13:45:12.276","13.7417","0","8.613","0","30.9172","0"
"2021-08-06 14:00:12.171","13.8427","0","8.677","0","30.9248","0"
"2021-08-06 14:15:11.912","13.8967","0","9.14","0","30.9293","0"
"2021-08-06 14:30:11.761","13.9355","0","9.021","0","30.9327","0"
"2021-08-06 14:45:11.512","13.9713","0","8.751","0","30.926","0"
"2021-08-06 15:00:12.238","13.9496","0","8.267","0","30.9421","0"
"2021-08-06 15:15:11.942","13.9397","0","7.719","0","30.9401","0"
"2021-08-06 15:30:11.814","13.9068","0","7.19","0","30.9299","0"
"2021-08-06 16:00:12.249","13.8441","0","7.007","0","30.9627","0"
"2021-08-06 18:00:11.997","13.9407","0","8.69","0","30.854","0"
"2021-08-06 18:45:11.876","13.2062","0","8.816","0","30.7044","0"
"2021-08-06 20:30:12.188","13.1857","0","9.322","0","30.6653","0"
"2021-08-06 21:00:11.517","13.2195","0","9.248","0","30.666","0"
"2021-08-06 21:15:11.840","13.2332","0","9.118","0","30.6708","0"
"2021-08-06 21:30:12.292","13.1832","0","9.193","0","30.683","0"
"2021-08-06 21:45:11.620","13.2315","0","8.852","0","30.6657","0"
"2021-08-06 22:00:11.685","13.2696","0","8.799","0","30.656","0"
"2021-08-06 22:15:12.230","13.3168","0","9.026","0","30.6606","0"
"2021-08-06 22:30:12.307","13.3373","0","8.829","0","30.6555","0"
"2021-08-06 22:45:12.110","13.3285","0","8.813","0","30.6667","0"
"2021-08-06 23:00:11.456","13.3447","0","8.532","0","30.6647","0"
"2021-08-06 23:15:12.248","13.3535","0","8.562","0","30.6583","0"
"2021-08-06 23:30:12.490","13.3513","0","8.33","0","30.6527","0"
