"time (UTC)","max velocity (m/s)","maxu_qc"
"2021-08-27 20:42:23.000","0.30159742","0"
"2021-08-27 20:57:23.000","0.33815533","0"
"2021-08-27 21:12:23.000","0.26506793","0"
"2021-08-27 21:27:23.000","0.30078068","0"
"2021-08-27 21:42:23.000","0.28968954","0"
"2021-08-27 21:57:23.000","0.33255678","0"
"2021-08-27 22:12:23.000","0.43586352","0"
"2021-08-27 22:27:23.000","0.3424456","0"
"2021-08-27 22:42:23.000","0.5299075","0"
"2021-08-27 22:57:23.000","0.38808247","0"
"2021-08-27 23:12:23.000","0.41394806","0"
"2021-08-27 23:27:23.000","0.35329315","0"
"2021-08-27 23:42:23.000","0.34341964","0"
"2021-08-27 23:57:23.000","0.48502576","0"
"2021-08-28 00:12:23.000","0.49506465","0"
"2021-08-28 00:27:23.000","0.58587456","0"
"2021-08-28 00:42:23.000","0.5670715","0"
"2021-08-28 00:57:23.000","0.58524704","0"
"2021-08-28 01:12:23.000","0.46405283","0"
"2021-08-28 01:27:23.000","0.49336606","0"
"2021-08-28 01:42:23.000","0.3587088","0"
"2021-08-28 01:57:23.000","0.28450832","0"
"2021-08-28 02:12:23.000","0.17810111","0"
"2021-08-28 02:27:23.000","0.20587862","0"
"2021-08-28 02:42:23.000","0.17965524","0"
"2021-08-28 02:57:23.000","0.19646883","0"
"2021-08-28 03:12:23.000","0.28629532","0"
"2021-08-28 03:27:23.000","0.29755336","0"
"2021-08-28 03:42:23.000","0.34787643","0"
"2021-08-28 03:57:23.000","0.4817302","0"
"2021-08-28 04:12:23.000","0.5741672","0"
"2021-08-28 04:27:23.000","0.6548015","0"
"2021-08-28 04:42:23.000","0.753608","0"
"2021-08-28 04:57:23.000","0.77502334","0"
"2021-08-28 05:12:23.000","0.7903853","0"
"2021-08-28 05:27:23.000","0.97263765","0"
"2021-08-28 05:42:23.000","1.0335898","0"
"2021-08-28 05:57:23.000","0.9811554","0"
"2021-08-28 06:12:23.000","1.0672619","0"
"2021-08-28 06:27:23.000","1.2445102","0"
"2021-08-28 06:42:23.000","1.2921062","0"
"2021-08-28 06:57:23.000","1.2696952","0"
"2021-08-28 07:12:23.000","1.2556463","0"
"2021-08-28 07:27:23.000","1.2739742","0"
"2021-08-28 07:42:23.000","1.2001635","0"
"2021-08-28 07:57:23.000","1.1581573","0"
"2021-08-28 08:12:23.000","0.99748147","0"
"2021-08-28 08:27:23.000","0.94233876","0"
"2021-08-28 08:42:23.000","0.8130345","0"
"2021-08-28 08:57:23.000","0.6446619","0"
"2021-08-28 09:12:23.000","0.4914061","0"
"2021-08-28 09:27:23.000","0.3551859","0"
"2021-08-28 09:42:23.000","0.25947064","0"
"2021-08-28 09:57:23.000","0.16985878","0"
"2021-08-28 10:12:23.000","0.122641765","0"
"2021-08-28 10:27:23.000","0.2452468","0"
"2021-08-28 10:42:23.000","0.47128448","0"
"2021-08-28 10:57:23.000","0.5107143","0"
"2021-08-28 11:12:23.000","0.3562373","0"
"2021-08-28 11:27:23.000","0.22389507","0"
"2021-08-28 11:42:23.000","0.24920875","0"
"2021-08-28 11:57:23.000","0.27390507","0"
"2021-08-28 12:12:23.000","0.33983824","0"
"2021-08-28 12:27:23.000","0.41539505","0"
"2021-08-28 12:42:23.000","0.52169925","0"
"2021-08-28 12:57:23.000","0.50303584","0"
"2021-08-28 13:12:23.000","0.43614674","0"
"2021-08-28 13:27:23.000","0.48586622","0"
"2021-08-28 13:42:23.000","0.4310012","0"
"2021-08-28 13:57:23.000","0.57212585","0"
"2021-08-28 14:12:23.000","0.5081417","0"
