time_pst,winddir_deg_from,windspeed_avg_m_s,windspeed_max_m_s
2021-10-15T07:00:00Z,315,0.363,1.366
2021-10-15T07:05:00Z,286.4,0.436,1.399
2021-10-15T07:10:00Z,273.8,0.061,0.4
2021-10-15T07:15:00Z,343,0.004,0.267
2021-10-15T07:20:00Z,18.99,0,0
2021-10-15T07:25:00Z,157.9,0.175,0.566
2021-10-15T07:30:00Z,177.2,0.061,0.4
2021-10-15T07:35:00Z,176.7,0.466,1.066
2021-10-15T07:40:00Z,320.5,0.233,1.233
2021-10-15T07:45:00Z,326,0.496,1.266
2021-10-15T07:50:00Z,147,0.265,0.733
2021-10-15T07:55:00Z,157.7,0.877,1.366
2021-10-15T08:00:00Z,168.5,0.993,1.599
2021-10-15T08:05:00Z,181.4,1.324,1.699
2021-10-15T08:10:00Z,179.3,1.617,2.199
2021-10-15T08:15:00Z,189.5,0.439,1.399
2021-10-15T08:20:00Z,178.7,1.187,1.566
2021-10-15T08:25:00Z,188.8,0.828,1.266
2021-10-15T08:30:00Z,180.6,0.536,1
2021-10-15T08:35:00Z,174.7,1.204,1.799
2021-10-15T08:40:00Z,176.8,1.593,2.266
2021-10-15T08:45:00Z,192.9,0.536,1.2
2021-10-15T08:50:00Z,187.9,0.89,1.233
2021-10-15T08:55:00Z,214.7,0.454,0.966
2021-10-15T09:00:00Z,192.4,0.441,1
2021-10-15T09:05:00Z,217,0.55,1.166
2021-10-15T09:10:00Z,245.8,0.19,0.533
2021-10-15T09:15:00Z,314.5,0.133,0.633
2021-10-15T09:20:00Z,286,0.199,0.666
2021-10-15T09:25:00Z,275.3,0.207,1.133
2021-10-15T09:30:00Z,308.1,0.542,1.166
2021-10-15T09:35:00Z,315.8,1.289,2.299
2021-10-15T09:40:00Z,333.8,0.787,1.466
2021-10-15T09:45:00Z,325.5,0.665,1.699
2021-10-15T09:50:00Z,233.9,0.217,0.8
2021-10-15T09:55:00Z,337.7,0.982,2.166
2021-10-15T10:00:00Z,336.3,0.277,0.8
2021-10-15T10:05:00Z,336.5,0.379,0.766
2021-10-15T10:10:00Z,341.4,0.077,0.466
2021-10-15T10:15:00Z,95.5,0.109,0.666
2021-10-15T10:20:00Z,27.43,0,0
2021-10-15T10:25:00Z,220,0.36,0.9
2021-10-15T10:30:00Z,258.4,0.006,0.333
2021-10-15T10:35:00Z,202.3,0.132,0.733
2021-10-15T10:40:00Z,241.8,0,0
2021-10-15T10:45:00Z,295.2,0.074,0.433
2021-10-15T10:50:00Z,319.7,0.513,1.2
2021-10-15T10:55:00Z,337.1,1.44,1.699
2021-10-15T11:00:00Z,353.3,0.95,1.399
2021-10-15T11:05:00Z,247.8,0.096,0.566
2021-10-15T11:10:00Z,155.6,0,0
2021-10-15T11:15:00Z,163.2,0,0
2021-10-15T11:20:00Z,197.3,0.262,0.7
2021-10-15T11:25:00Z,310.1,0,0
2021-10-15T11:30:00Z,319,0.084,0.733
2021-10-15T11:35:00Z,333.9,0.767,1.066
2021-10-15T11:40:00Z,306.9,0.173,0.833
2021-10-15T11:45:00Z,151.8,0.347,0.833
2021-10-15T11:50:00Z,169.2,1.184,1.866
2021-10-15T11:55:00Z,185,0.871,1.266
2021-10-15T12:00:00Z,186,1.106,1.899
2021-10-15T12:05:00Z,173.5,1.644,2.266
2021-10-15T12:10:00Z,179.1,1.749,2.332
2021-10-15T12:15:00Z,177,1.775,2.332
2021-10-15T12:20:00Z,177.8,2.124,3.099
2021-10-15T12:25:00Z,182.8,1.487,2.099
2021-10-15T12:30:00Z,174.8,1.949,2.466
2021-10-15T12:35:00Z,177.4,1.423,1.833
2021-10-15T12:40:00Z,183.5,1.389,2.099
2021-10-15T12:45:00Z,181.3,1.316,1.933
2021-10-15T12:50:00Z,175,1.677,2.399
2021-10-15T12:55:00Z,173,1.653,2.066
2021-10-15T13:00:00Z,178.8,1.262,1.766
2021-10-15T13:05:00Z,190.7,0.949,1.333
2021-10-15T13:10:00Z,183.2,1.006,1.333
2021-10-15T13:15:00Z,184.2,0.967,1.399
2021-10-15T13:20:00Z,178.1,1.149,1.433
2021-10-15T13:25:00Z,167.6,1.699,2.166
2021-10-15T13:30:00Z,168.2,1.314,1.933
2021-10-15T13:35:00Z,164.1,0.521,0.8
2021-10-15T13:40:00Z,204.3,0.142,0.666
2021-10-15T13:45:00Z,218.6,0,0
2021-10-15T13:50:00Z,220.2,0,0
2021-10-15T13:55:00Z,181,0,0
2021-10-15T14:00:00Z,142.1,0,0
2021-10-15T14:05:00Z,169.3,0,0
2021-10-15T14:10:00Z,154.9,0.622,1.133
2021-10-15T14:15:00Z,178.4,1.039,1.399
2021-10-15T14:20:00Z,173.2,0.933,1.399
2021-10-15T14:25:00Z,175.8,1.19,1.633
2021-10-15T14:30:00Z,175,1.413,1.833
2021-10-15T14:35:00Z,175,1.368,1.866
2021-10-15T14:40:00Z,161.5,1.317,1.899
2021-10-15T14:45:00Z,170.6,1.894,2.232
2021-10-15T14:50:00Z,171.4,1.921,2.466
2021-10-15T14:55:00Z,173.3,1.617,1.999
