time_pst,qc_pco2_water,qc_pco2_air,p_co2_in_water_ppm,p_co2_in_air_ppm
2023-08-15T03:00:00Z,0,0,292.96173,423.63705
2023-08-15T06:00:00Z,0,0,428.70242,426.95657
2023-08-15T09:00:00Z,0,0,470.66724,502.41983
2023-08-15T12:00:00Z,0,0,400.2624,516.9845
2023-08-15T15:00:00Z,0,0,435.01895,452.71017
2023-08-15T18:00:00Z,0,0,375.3521,416.58118
2023-08-15T21:00:00Z,0,0,533.7932,420.52692
2023-08-16T00:00:00Z,0,0,406.75223,416.1848
2023-08-16T03:00:00Z,0,0,241.92743,423.70728
2023-08-16T06:00:00Z,0,0,362.6,428.79224
2023-08-16T09:00:00Z,0,0,568.9278,445.9955
2023-08-16T12:00:00Z,0,0,416.3457,460.2119
2023-08-16T15:00:00Z,0,0,371.75497,461.95483
2023-08-16T18:00:00Z,0,0,372.53137,419.3619
2023-08-16T21:00:00Z,0,0,486.56967,418.77054
2023-08-17T00:00:00Z,0,0,587.2707,415.57758
2023-08-17T03:00:00Z,0,0,321.42294,420.09384
2023-08-17T06:00:00Z,0,0,406.8038,429.56705
2023-08-17T09:00:00Z,0,0,685.45654,425.12775
2023-08-17T12:00:00Z,0,0,252.87326,487.24466
2023-08-17T15:00:00Z,0,0,386.2421,474.41986000000003
2023-08-17T18:00:00Z,0,0,423.59622,431.07086
2023-08-17T21:00:00Z,0,0,477.63333,428.06534
2023-08-18T00:00:00Z,0,0,572.75806,413.37534
2023-08-18T03:00:00Z,0,0,520.51416,418.93674
2023-08-18T06:00:00Z,0,0,576.8381,414.21378
2023-08-18T09:00:00Z,0,0,613.91345,430.48932
2023-08-18T12:00:00Z,0,0,526.6593,417.04742
2023-08-18T15:00:00Z,0,0,528.10443,413.8773
2023-08-18T18:00:00Z,0,0,432.80087,413.10812
2023-08-18T21:00:00Z,0,0,538.9384,411.2579
2023-08-19T00:00:00Z,0,0,564.515,409.16913
2023-08-19T03:00:00Z,0,0,501.439,412.96725
2023-08-19T06:00:00Z,0,0,538.8007,443.27515
2023-08-19T09:00:00Z,0,0,743.7693,442.7678
2023-08-19T12:00:00Z,0,0,643.034,462.84412
2023-08-19T15:00:00Z,0,0,373.88602,421.4381
2023-08-19T18:00:00Z,0,0,381.44055,410.1543
2023-08-19T21:00:00Z,0,0,483.36395,406.86633
2023-08-20T00:00:00Z,0,0,539.48346,406.8005
2023-08-20T03:00:00Z,0,0,489.61673,415.0355
2023-08-20T06:00:00Z,0,0,520.2,442.8607
2023-08-20T09:00:00Z,0,0,594.5441,459.28568
2023-08-20T12:00:00Z,0,0,650.20776,471.08572
2023-08-20T15:00:00Z,0,0,332.9036,435.0157
2023-08-20T18:00:00Z,0,0,289.92932,408.0202
2023-08-20T21:00:00Z,0,0,400.10394,410.54935
2023-08-21T00:00:00Z,0,0,568.7845,407.9612
2023-08-21T03:00:00Z,0,0,323.65778,417.82465
2023-08-21T06:00:00Z,0,0,383.53812,452.12274
2023-08-21T09:00:00Z,0,0,489.7555,420.7457
2023-08-21T12:00:00Z,0,0,640.5897,421.52707
2023-08-21T15:00:00Z,0,0,346.25623,420.76587
2023-08-21T18:00:00Z,0,0,362.30667,407.88016
2023-08-21T21:00:00Z,0,0,353.19226,404.6164
2023-08-22T00:00:00Z,0,0,628.8461,407.68237
2023-08-22T03:00:00Z,0,0,607.105,409.5007
2023-08-22T06:00:00Z,0,0,622.96045,412.39124
2023-08-22T09:00:00Z,0,0,537.7574,424.455
2023-08-22T12:00:00Z,0,0,634.5938,429.66364
2023-08-22T15:00:00Z,0,0,668.8867,422.07983
2023-08-22T18:00:00Z,0,0,383.62982,415.21915
2023-08-22T21:00:00Z,0,0,267.8964,411.5624
2023-08-23T00:00:00Z,0,0,597.5221,412.0307
2023-08-23T03:00:00Z,0,0,370.88324,414.40048
2023-08-23T06:00:00Z,0,0,549.2247,418.54742
2023-08-23T09:00:00Z,0,0,585.4833,427.0505
2023-08-23T12:00:00Z,0,0,643.60345,441.6922
2023-08-23T15:00:00Z,0,0,670.4075,435.44913
2023-08-23T18:00:00Z,0,0,445.77432,417.8338
2023-08-23T21:00:00Z,0,0,300.17755,411.3166
2023-08-24T00:00:00Z,0,0,501.6038,406.4402
2023-08-24T03:00:00Z,0,0,363.1455,410.42722
2023-08-24T06:00:00Z,0,0,526.745,437.72275
2023-08-24T09:00:00Z,0,0,515.2522,440.4459
2023-08-24T12:00:00Z,0,0,548.04333,437.17462
2023-08-24T15:00:00Z,0,0,642.99866,434.27966
2023-08-24T18:00:00Z,0,0,504.43414,417.98862
2023-08-24T21:00:00Z,0,0,425.18774,416.8031
2023-08-25T00:00:00Z,0,0,386.40018,409.2767
2023-08-25T03:00:00Z,0,0,446.3198,420.87106
2023-08-25T06:00:00Z,0,0,419.24033,434.2038
2023-08-25T09:00:00Z,0,0,497.28674,497.4862
2023-08-25T12:00:00Z,0,0,451.3617,445.16672
2023-08-25T15:00:00Z,0,0,619.8578,433.4474
2023-08-25T18:00:00Z,0,0,516.1969,415.00238
2023-08-25T21:00:00Z,0,0,519.1426,418.41742
2023-08-26T00:00:00Z,0,0,392.53934,423.93274
2023-08-26T03:00:00Z,0,0,445.12692,423.85812
2023-08-26T06:00:00Z,0,0,499.00378,441.77432
2023-08-26T09:00:00Z,0,0,486.75226,485.48602
2023-08-26T12:00:00Z,0,0,531.7716,519.0048
2023-08-26T15:00:00Z,0,0,544.75995,453.51846
2023-08-26T18:00:00Z,0,0,508.6086,426.88123
2023-08-26T21:00:00Z,0,0,466.9879,425.52658
2023-08-27T00:00:00Z,0,0,218.26222,417.53378
2023-08-27T03:00:00Z,0,0,419.9557,427.24915
2023-08-27T06:00:00Z,0,0,244.49171,442.3741
2023-08-27T09:00:00Z,0,0,360.21967,539.16345
2023-08-27T12:00:00Z,0,0,415.92706,455.04083
2023-08-27T15:00:00Z,0,0,390.93845,464.8688
2023-08-27T18:00:00Z,0,0,552.9183,421.63483
2023-08-27T21:00:00Z,0,0,472.74036,415.65982
2023-08-28T00:00:00Z,0,0,404.90207,415.67932
2023-08-28T03:00:00Z,0,0,366.49054,415.62326
2023-08-28T06:00:00Z,0,0,442.24002,422.4386
2023-08-28T09:00:00Z,0,0,332.61328,429.7176
2023-08-28T12:00:00Z,0,0,440.42795,427.99954
2023-08-28T15:00:00Z,0,0,395.1243,422.79636
2023-08-28T18:00:00Z,0,0,560.4781,418.9543
2023-08-28T21:00:00Z,0,0,539.8702,418.2424
2023-08-29T00:00:00Z,0,0,256.6257,416.65155
2023-08-29T03:00:00Z,0,0,271.53812,419.64948
2023-08-29T06:00:00Z,0,0,518.12036,416.64896
2023-08-29T09:00:00Z,0,0,184.84277,428.47308
2023-08-29T12:00:00Z,0,0,255.70897,429.37537
2023-08-29T15:00:00Z,0,0,445.13535,422.16806
2023-08-29T18:00:00Z,0,0,538.85516,417.6745
2023-08-29T21:00:00Z,0,0,739.1804,409.25397
2023-08-30T00:00:00Z,0,0,218.86137,410.37967
2023-08-30T03:00:00Z,0,0,291.32297,411.45828
2023-08-30T06:00:00Z,0,0,512.14795,427.94107
2023-08-30T09:00:00Z,0,0,788.89795,452.98984
2023-08-30T12:00:00Z,0,0,377.4976,451.23328
2023-08-30T15:00:00Z,0,0,547.41705,433.12137
2023-08-30T18:00:00Z,0,0,535.7804,412.8059
2023-08-30T21:00:00Z,0,0,681.799,415.76398
2023-08-31T00:00:00Z,0,0,328.71585,411.45428
2023-08-31T03:00:00Z,0,0,243.21466,411.86276
2023-08-31T06:00:00Z,0,0,447.7324,440.87637
2023-08-31T09:00:00Z,0,0,848.9547,440.44412
2023-08-31T12:00:00Z,0,0,357.00812,428.63965
2023-08-31T15:00:00Z,0,0,427.88068,419.68793
2023-08-31T18:00:00Z,0,0,511.20657,419.12982
2023-08-31T21:00:00Z,0,0,665.1965,427.1002
2023-09-01T00:00:00Z,0,0,739.89276,413.35876
2023-09-01T03:00:00Z,0,0,519.82806,421.89548
2023-09-01T06:00:00Z,0,0,662.1803,436.0105
2023-09-01T09:00:00Z,0,0,870.0592,451.33395
2023-09-01T12:00:00Z,0,0,425.60257,450.4
2023-09-01T15:00:00Z,0,0,612.2047,449.6169
2023-09-01T18:00:00Z,0,0,583.1912,413.73
2023-09-01T21:00:00Z,0,0,706.73755,421.0024
2023-09-02T00:00:00Z,0,0,795.9356,415.83105
2023-09-02T03:00:00Z,0,0,353.7593,437.36417
2023-09-02T06:00:00Z,0,0,506.27704,431.79175
2023-09-02T09:00:00Z,0,0,873.72455,465.04517
2023-09-02T12:00:00Z,0,0,890.0122,512.711
2023-09-02T15:00:00Z,0,0,440.2121,454.97296
2023-09-02T18:00:00Z,0,0,471.98624,421.875
2023-09-02T21:00:00Z,0,0,779.31006,425.63846
2023-09-03T00:00:00Z,0,0,817.23755,420.92517
2023-09-03T03:00:00Z,0,0,509.93744,429.0219
2023-09-03T06:00:00Z,0,0,358.56448,436.98
2023-09-03T09:00:00Z,0,0,810.0515,456.5783
2023-09-03T12:00:00Z,0,0,899.3781,539.7702
2023-09-03T15:00:00Z,0,0,431.60394,462.36792
2023-09-03T18:00:00Z,0,0,341.41107,434.20728
2023-09-03T21:00:00Z,0,0,732.6449,419.12085
2023-09-04T00:00:00Z,0,0,834.51996,408.26376
2023-09-04T03:00:00Z,0,0,598.9355,411.23828
2023-09-04T06:00:00Z,0,0,365.78485,412.4795
2023-09-05T09:00:00Z,0,0,469.65085,414.97604
2023-09-05T12:00:00Z,0,0,804.91724,417.6295
2023-09-05T15:00:00Z,0,0,908.9041,419.1443
2023-09-05T18:00:00Z,0,0,306.73798,413.76895
2023-09-05T21:00:00Z,0,0,259.77844,414.86035
2023-09-06T00:00:00Z,0,0,713.5391,414.6055
2023-09-06T03:00:00Z,0,0,281.8819,421.23364
2023-09-06T06:00:00Z,0,0,355.92413,425.82516
2023-09-06T09:00:00Z,0,0,631.97345,431.13104
2023-09-06T12:00:00Z,0,0,752.3491,435.30154
